,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD),,
,Oct-26-2018,1.76%,0.91%,,,
,Oct-29-2018,0.91%,-3.22%,,,
,Oct-30-2018,-3.22%,1.85%,,,
,Oct-31-2018,1.85%,0.66%,,,
,Nov-1-2018,0.66%,1.19%,,,
,Nov-2-2018,1.19%,-1.17%,,,
,Nov-5-2018,-1.17%,-0.38%,,,
,Nov-6-2018,-0.38%,0.79%,,,
,Nov-7-2018,0.79%,1.88%,,,
,Nov-8-2018,1.88%,-0.15%,,,
,Nov-9-2018,-0.15%,-0.75%,,,
,Nov-12-2018,-0.75%,-2.24%,,,
,Nov-13-2018,-2.24%,-0.39%,,,
,Nov-14-2018,-0.39%,-1.75%,,,
,Nov-15-2018,-1.75%,1.98%,,,
,Nov-16-2018,1.98%,0.62%,,,
,Nov-19-2018,0.62%,-2.81%,,,
,Nov-20-2018,-2.81%,0.55%,,,
,Nov-21-2018,0.55%,-0.55%,,,
,Nov-26-2018,-0.55%,0.93%,,,
,Nov-27-2018,0.93%,0.91%,,,
,Nov-28-2018,0.91%,2.45%,,,
,Nov-29-2018,2.45%,0.08%,,,
,Nov-30-2018,0.08%,0.63%,,,
,Dec-3-2018,0.63%,-0.47%,,,
,Dec-4-2018,-0.47%,-3.25%,,,
,Dec-6-2018,-3.25%,2.71%,,,
,Dec-7-2018,2.71%,-2.89%,,,
,Dec-10-2018,-2.89%,1.19%,,,
,Dec-11-2018,1.19%,-1.26%,,,
,Dec-12-2018,-1.26%,-0.61%,,,
,Dec-13-2018,-0.61%,-0.56%,,,
,Dec-14-2018,-0.56%,-1.40%,,,
,Dec-17-2018,-1.40%,-1.78%,,,
,Dec-18-2018,-1.78%,-0.14%,,,
,Dec-19-2018,-0.14%,-2.18%,,,
,Dec-20-2018,-2.18%,-1.10%,,,
,Dec-21-2018,-1.10%,-3.52%,,,
,Dec-26-2018,-3.52%,5.09%,,,
,Dec-27-2018,5.09%,1.70%,,,
,Dec-28-2018,1.70%,-0.62%,,,
,Dec-31-2018,-0.62%,-0.16%,,,
,Jan-2-2019,-0.16%,2.58%,,,
,Jan-3-2019,2.58%,-1.92%,,,
,Jan-4-2019,-1.92%,2.77%,,,
,Jan-7-2019,2.77%,0.95%,,,
,Jan-8-2019,0.95%,0.00%,,,
,Jan-9-2019,0.00%,0.39%,,,
,Jan-10-2019,0.39%,1.02%,,,
,Jan-11-2019,1.02%,0.27%,,,
,Jan-14-2019,0.27%,-0.02%,,,
,Jan-15-2019,-0.02%,1.56%,,,
,Jan-16-2019,1.56%,-0.15%,,,
,Jan-17-2019,-0.15%,1.10%,,,
,Jan-18-2019,1.10%,0.21%,,,
,Jan-22-2019,0.21%,-1.21%,,,
,Jan-23-2019,-1.21%,-0.36%,,,
,Jan-24-2019,-0.36%,0.33%,,,
,Jan-25-2019,0.33%,0.47%,,,
,Jan-28-2019,0.47%,0.04%,,,
,Jan-29-2019,0.04%,-1.04%,,,
,Jan-30-2019,-1.04%,1.48%,,,
,Jan-31-2019,1.48%,0.91%,,,
,Feb-1-2019,0.91%,0.04%,,,
,Feb-4-2019,0.04%,1.19%,,,
,Feb-5-2019,1.19%,0.75%,,,
,Feb-6-2019,0.75%,-0.33%,,,
,Feb-7-2019,-0.33%,-0.47%,,,
,Feb-8-2019,-0.47%,1.06%,,,
,Feb-11-2019,1.06%,-0.44%,,,
,Feb-12-2019,-0.44%,0.80%,,,
,Feb-13-2019,0.80%,-0.38%,,,
,Feb-14-2019,-0.38%,0.47%,,,
,Feb-15-2019,0.47%,-0.34%,,,
,Feb-19-2019,-0.34%,0.51%,,,
,Feb-20-2019,0.51%,-0.10%,,,
,Feb-21-2019,-0.10%,-0.10%,,,
,Feb-22-2019,-0.10%,0.53%,,,
,Feb-25-2019,0.53%,-0.40%,,,
,Feb-26-2019,-0.40%,0.39%,,,
,Feb-27-2019,0.39%,0.38%,,,
,Feb-28-2019,0.38%,0.08%,,,
,Mar-1-2019,0.08%,0.01%,,,
,Mar-4-2019,0.01%,-0.52%,,,
,Mar-5-2019,-0.52%,0.01%,,,
,Mar-6-2019,0.01%,-0.66%,,,
,Mar-7-2019,-0.66%,-0.96%,,,
